t,z(t),v(t),F(t) (added)
2.599998,1.601301,1.001147,-160.1301
2.619998,1.620684,0.9691207,-162.0684
2.639998,1.639418,0.9367071,-163.9418
2.659998,1.657496,0.9039187,-165.7496
2.679998,1.674911,0.8707688,-167.4911
2.699998,1.691657,0.8372706,-169.1657
2.719998,1.707726,0.8034375,-170.7726
2.739998,1.723111,0.7692829,-172.3111
2.759998,1.737808,0.7348207,-173.7808
2.779998,1.751809,0.7000646,-175.1809
2.799998,1.765109,0.6650285,-176.5109
2.819998,1.777704,0.6297263,-177.7704
2.839998,1.789587,0.5941722,-178.9588
2.859998,1.800755,0.5583805,-180.0755
2.879998,1.811202,0.5223654,-181.1202
2.899998,1.820925,0.4861414,-182.0925
2.919998,1.82992,0.4497229,-182.992
2.939998,1.838182,0.4131245,-183.8182
2.959998,1.845709,0.3763608,-184.5709
2.979998,1.852498,0.3394467,-185.2498
2.999998,1.858546,0.3023967,-185.8546
3.019998,1.863851,0.2652258,-186.3851
3.039998,1.86841,0.2279488,-186.841
3.059998,1.872221,0.1905806,-187.2221
3.079998,1.875284,0.1531361,-187.5284
3.099998,1.877597,0.1156305,-187.7597
3.119998,1.879158,0.07807852,-187.9158
3.139998,1.879968,0.04049536,-187.9968
3.159998,1.880026,0.002896006,-188.0026
3.179998,1.879332,-0.03470451,-187.9332
3.199998,1.877886,-0.07229115,-187.7886
3.219998,1.875689,-0.1098489,-187.5689
3.239998,1.872742,-0.1473626,-187.2742
3.259998,1.869046,-0.1848175,-186.9046
3.279998,1.864602,-0.2221984,-186.4602
3.299998,1.859412,-0.2594904,-185.9412
3.319998,1.853478,-0.2966787,-185.3478
3.339998,1.846803,-0.3337482,-184.6803
3.359998,1.83939,-0.3706843,-183.939
3.379997,1.83124,-0.4074721,-183.124
3.399997,1.822358,-0.4440969,-182.2358
3.419997,1.812747,-0.480544,-181.2747
3.439997,1.802412,-0.516799,-180.2411
3.459997,1.791355,-0.5528472,-179.1355
3.479997,1.779581,-0.5886743,-177.9581
3.499997,1.767096,-0.6242659,-176.7096
3.519997,1.753904,-0.6596078,-175.3904
3.539997,1.74001,-0.6946859,-174.001
3.559997,1.72542,-0.729486,-172.542
3.579997,1.71014,-0.7639945,-171.0141
3.599997,1.694177,-0.7981973,-169.4176
3.619997,1.677535,-0.8320808,-167.7535
3.639997,1.660222,-0.8656315,-166.0222
3.659997,1.642246,-0.8988359,-164.2245
3.679997,1.623612,-0.9316808,-162.3612
3.699997,1.604329,-0.9641531,-160.4329
3.719997,1.584404,-0.9962396,-158.4404
3.739997,1.563846,-1.027928,-156.3846
3.759997,1.542661,-1.059205,-154.2661
3.779997,1.52086,-1.090058,-152.086
3.799997,1.498451,-1.120475,-149.8451
3.819997,1.475442,-1.150444,-147.5442
3.839997,1.451843,-1.179953,-145.1843
