t,x(t),v(t),F(t) (added)
11.98008,0.479969,0.3304574,-47.99689
12.00008,0.4863861,0.320858,-48.63861
12.02009,0.4926087,0.3111303,-49.26087
12.04009,0.4986343,0.3012781,-49.86343
12.06009,0.5044604,0.2913054,-50.44604
12.08009,0.5100847,0.2812162,-51.00848
12.10009,0.515505,0.2710145,-51.5505
12.12009,0.5207191,0.2607044,-52.07191
12.14009,0.5257249,0.25029,-52.57249
12.16009,0.5305204,0.2397755,-53.05204
12.18009,0.5351037,0.2291651,-53.51037
12.20009,0.5394729,0.218463,-53.94729
12.22009,0.5436264,0.2076736,-54.36264
12.24009,0.5475624,0.1968011,-54.75624
12.26009,0.5512794,0.1858498,-55.12794
12.28009,0.5547759,0.1748242,-55.47759
12.30009,0.5580505,0.1637287,-55.80505
12.32009,0.5611018,0.1525677,-56.11018
12.34009,0.5639287,0.1413456,-56.39287
12.36009,0.56653,0.1300671,-56.653
12.38009,0.5689048,0.1187365,-56.89048
12.40009,0.5710519,0.1073584,-57.10519
12.42009,0.5729706,0.09593733,-57.29706
12.44009,0.5746602,0.08447792,-57.46602
12.4601,0.5761199,0.07298471,-57.61199
12.4801,0.5773491,0.06146231,-57.73491
12.5001,0.5783474,0.04991533,-57.83474
12.5201,0.5791144,0.03834838,-57.91145
12.5401,0.5796497,0.02676609,-57.96497
12.5601,0.5799532,0.0151731,-57.99532
12.5801,0.5800247,0.003574033,-58.00246
12.6001,0.5798641,-0.008026459,-57.98642
12.6201,0.5794716,-0.01962374,-57.94717
12.6401,0.5788474,-0.03121318,-57.88474
12.6601,0.5779916,-0.04279012,-57.79916
12.6801,0.5769046,-0.05434996,-57.69046
12.7001,0.5755869,-0.06588805,-57.55869
12.7201,0.5740389,-0.07739978,-57.40388
12.7401,0.5722613,-0.08888056,-57.22613
12.7601,0.5702547,-0.1003258,-57.02547
12.7801,0.5680201,-0.1117309,-56.80201
12.8001,0.5655583,-0.1230913,-56.55582
12.8201,0.5628702,-0.1344024,-56.28702
12.8401,0.559957,-0.1456598,-55.9957
12.8601,0.5568199,-0.156859,-55.68198
12.88011,0.5534599,-0.1679954,-55.34599
12.90011,0.5498787,-0.1790646,-54.98787
12.92011,0.5460774,-0.1900622,-54.60774
12.94011,0.5420578,-0.2009837,-54.20578
12.96011,0.5378212,-0.2118249,-53.78212
12.98011,0.5333696,-0.2225813,-53.33696
13.00011,0.5287046,-0.2332487,-52.87046
13.02011,0.5238282,-0.2438228,-52.38282
13.04011,0.5187422,-0.2542993,-51.87422
13.06011,0.5134487,-0.2646742,-51.34487
13.08011,0.5079498,-0.2749432,-50.79498
13.10011,0.5022478,-0.2851022,-50.22478
13.12011,0.4963449,-0.2951471,-49.63449
13.14011,0.4902434,-0.305074,-49.02434
13.16011,0.4839458,-0.3148789,-48.39458
13.18011,0.4774546,-0.3245578,-47.74546
13.20011,0.4707725,-0.3341069,-47.07725
13.22011,0.4639021,-0.3435223,-46.39021
13.24011,0.4568461,-0.3528003,-45.6846
13.26011,0.4496073,-0.3619373,-44.96073
13.28011,0.4421887,-0.3709294,-44.21887
13.30011,0.4345933,-0.3797732,-43.45933
13.32012,0.426824,-0.388465,-42.6824
13.34012,0.418884,-0.3970015,-41.8884
13.36012,0.4107764,-0.4053792,-41.07764
13.38012,0.4025045,-0.4135947,-40.25045
13.40012,0.3940716,-0.4216448,-39.40716
13.42012,0.3854811,-0.4295262,-38.54811
13.44012,0.3767364,-0.4372359,-37.67364
13.46012,0.367841,-0.4447706,-36.7841
13.48012,0.3587984,-0.4521274,-35.87984
13.50012,0.3496124,-0.4593034,-34.96124
13.52012,0.3402864,-0.4662956,-34.02864
13.54012,0.3308244,-0.4731013,-33.08244
13.56012,0.3212301,-0.4797178,-32.123
13.58012,0.3115072,-0.4861424,-31.15072
13.60012,0.3016597,-0.4923726,-30.16597
13.62012,0.2916916,-0.4984058,-29.16916
13.64012,0.2816069,-0.5042396,-28.16068
13.66012,0.2714094,-0.5098717,-27.14094
13.68012,0.2611034,-0.5152999,-26.11034
13.70012,0.250693,-0.520522,-25.0693
13.72012,0.2401823,-0.5255359,-24.01823
13.74012,0.2295755,-0.5303395,-22.95755
13.76013,0.2188769,-0.5349311,-21.88769
13.78013,0.2080907,-0.5393086,-20.80907
13.80013,0.1972213,-0.5434704,-19.72213
13.82013,0.186273,-0.5474148,-18.6273
13.84013,0.1752502,-0.5511403,-17.52502
13.86013,0.1641573,-0.5546453,-16.41573
13.88013,0.1529987,-0.5579284,-15.29987
13.90013,0.1417789,-0.5609884,-14.17789
13.92013,0.1305024,-0.563824,-13.05024
13.94013,0.1191738,-0.566434,-11.91738
13.96013,0.1077974,-0.5688175,-10.77974
13.98013,0.09637795,-0.5709735,-9.637794
14.00013,0.08491993,-0.572901,-8.491993
14.02013,0.07342795,-0.5745994,-7.342794
14.04013,0.06190659,-0.5760679,-6.190659
14.06013,0.05036047,-0.577306,-5.036047
14.08013,0.0387942,-0.5783132,-3.879421
14.10013,0.02721242,-0.5790891,-2.721242
14.12013,0.01561976,-0.5796334,-1.561976
14.14013,0.004020841,-0.5799457,-0.4020841
14.16013,-0.007579681,-0.5800261,0.7579681
14.18013,-0.01917717,-0.5798746,1.917717
14.20014,-0.03076699,-0.579491,3.076699
14.22014,-0.04234451,-0.5788757,4.234451
14.24014,-0.05390508,-0.5780288,5.390509
14.26014,-0.0654441,-0.5769507,6.54441
14.28014,-0.07695694,-0.5756418,7.695693
14.30014,-0.08843899,-0.5741027,8.843899
14.32014,-0.09988566,-0.5723339,9.988566
14.34014,-0.1112924,-0.5703362,11.12924
14.36014,-0.1226546,-0.5681103,12.26546
14.38014,-0.1339677,-0.5656573,13.39677
14.40014,-0.1452273,-0.5629779,14.52273
14.42014,-0.1564288,-0.5600734,15.64288
14.44014,-0.1675677,-0.5569448,16.75677
14.46014,-0.1786395,-0.5535935,17.86395
14.48014,-0.18964,-0.5500207,18.96399
14.50014,-0.2005645,-0.5462279,20.05645
14.52014,-0.2114089,-0.5422166,21.14088
14.54014,-0.2221686,-0.5379884,22.21686
14.56014,-0.2328395,-0.5335451,23.28395
14.58014,-0.2434173,-0.5288883,24.34173
14.60014,-0.2538977,-0.52402,25.38977
14.62014,-0.2642765,-0.518942,26.42765
14.64015,-0.2745497,-0.5136565,27.45497
14.66015,-0.284713,-0.5081655,28.4713
14.68015,-0.2947624,-0.5024712,29.47624
14.70015,-0.3046939,-0.496576,30.46939
14.72015,-0.3145036,-0.4904821,31.45036
14.74015,-0.3241874,-0.484192,32.41874
14.76015,-0.3337416,-0.4777083,33.37416
14.78015,-0.3431622,-0.4710334,34.31622
14.80015,-0.3524456,-0.4641702,35.24456
14.82015,-0.3615881,-0.4571213,36.15881
14.84015,-0.3705859,-0.4498895,37.05859
14.86015,-0.3794354,-0.4424778,37.94354
14.88015,-0.3881332,-0.4348891,38.81332
14.90015,-0.3966757,-0.4271264,39.66757
14.92015,-0.4050596,-0.4191929,40.50596
14.94015,-0.4132814,-0.4110917,41.32814
14.96015,-0.421338,-0.4028261,42.1338
14.98015,-0.429226,-0.3943993,42.9226
15.00015,-0.4369422,-0.3858148,43.69423
15.02015,-0.4444838,-0.3770759,44.44838
15.04015,-0.4518475,-0.3681863,45.18475
15.06015,-0.4590305,-0.3591493,45.90305
15.08016,-0.4660299,-0.3499687,46.60299
15.10016,-0.4728428,-0.3406481,47.28428
15.12016,-0.4794666,-0.3311913,47.94666
15.14016,-0.4858987,-0.3216019,48.58987
15.16016,-0.4921364,-0.311884,49.21363
15.18016,-0.4981772,-0.3020412,49.81772
15.20016,-0.5040187,-0.2920777,50.40187
15.22016,-0.5096587,-0.2819973,50.96587
15.24016,-0.5150948,-0.2718042,51.50948
15.26016,-0.5203248,-0.2615023,52.03248
15.28016,-0.5253468,-0.2510958,52.53468
15.30016,-0.5301585,-0.2405888,53.01585
15.32016,-0.5347582,-0.2299857,53.47582
15.34016,-0.539144,-0.2192905,53.91441
15.36016,-0.5433142,-0.2085076,54.33142
15.38016,-0.547267,-0.1976413,54.7267
15.40016,-0.551001,-0.186696,55.10009
15.42016,-0.5545145,-0.175676,55.45145
15.44016,-0.5578062,-0.1645857,55.78062
15.46016,-0.5608748,-0.1534296,56.08747
15.48016,-0.563719,-0.1422121,56.3719
15.50016,-0.5663377,-0.1309377,56.63377
15.52017,-0.5687299,-0.1196109,56.87299
15.54017,-0.5708947,-0.1082363,57.08947
15.56017,-0.572831,-0.09681845,57.2831
15.58017,-0.5745383,-0.08536182,57.45383
15.60017,-0.5760157,-0.07387106,57.60157
15.62017,-0.5772627,-0.06235075,57.72627
15.64017,-0.5782788,-0.0508055,57.82788
15.66017,-0.5790636,-0.03923992,57.90636
15.68017,-0.5796168,-0.02765865,57.96168
15.70017,-0.5799381,-0.01606632,57.99381
15.72017,-0.5800275,-0.004467562,58.00275
15.74017,-0.5798848,0.007132985,57.98848
15.76017,-0.5795102,0.01873068,57.95102
15.78017,-0.5789038,0.03032088,57.89038
15.80017,-0.5780658,0.04189895,57.80658
15.82017,-0.5769966,0.05346027,57.69966
15.84017,-0.5756966,0.0650002,57.56966
15.86017,-0.5741664,0.07651413,57.41664
15.88017,-0.5724064,0.08799746,57.24064
15.90017,-0.5704175,0.09944559,57.04175
15.92017,-0.5682005,0.1108539,56.82005
15.94018,-0.5657561,0.122218,56.57561
15.96018,-0.5630854,0.1335331,56.30854
15.98018,-0.5601895,0.1447948,56.01896
16.00018,-0.5570696,0.1559986,55.70696
16.02018,-0.5537268,0.16714,55.37268
16.04018,-0.5501625,0.1782145,55.01625
16.06018,-0.5463781,0.1892177,54.63781
16.08018,-0.5423752,0.2001453,54.23752
16.10018,-0.5381554,0.2109928,53.81554
16.12018,-0.5337203,0.2217559,53.37202
16.14018,-0.5290716,0.2324303,52.90716
16.16018,-0.5242114,0.2430118,52.42114
16.18018,-0.5191415,0.253496,51.91415
16.20018,-0.5138639,0.2638788,51.38639
16.22018,-0.5083808,0.2741561,50.83808
16.24018,-0.5026943,0.2843237,50.26943
16.26018,-0.4968068,0.2943776,49.68068
16.28018,-0.4907205,0.3043137,49.07205
16.30018,-0.4844379,0.3141281,48.44379
16.32018,-0.4779616,0.3238169,47.79616
16.34018,-0.4712941,0.3333761,47.12941
16.36018,-0.464438,0.342802,46.4438
16.38018,-0.4573962,0.3520908,45.73962
16.40018,-0.4501714,0.3612387,45.01714
16.42019,-0.4427666,0.3702421,44.27666
16.44019,-0.4351847,0.3790975,43.51847
16.46019,-0.4274286,0.3878011,42.74286
16.48019,-0.4195016,0.3963497,41.95016
16.50019,-0.4114068,0.4047397,41.14069
16.52019,-0.4031475,0.4129679,40.31475
16.54019,-0.3947269,0.4210308,39.47269
16.56019,-0.3861484,0.4289254,38.61484
16.58019,-0.3774154,0.4366483,37.74154
16.60019,-0.3685315,0.4441966,36.85315
16.62019,-0.3595001,0.4515673,35.95001
16.64019,-0.350325,0.4587573,35.0325
16.66019,-0.3410097,0.4657637,34.10097
16.68019,-0.331558,0.4725839,33.1558
16.70019,-0.3219737,0.4792151,32.19737
16.72019,-0.3122606,0.4856546,31.22606
16.74019,-0.3024226,0.4918998,30.24226
16.76019,-0.2924637,0.4979483,29.24637
16.78019,-0.2823877,0.5037975,28.23877
16.80019,-0.2721988,0.5094453,27.21988
16.82019,-0.261901,0.5148893,26.1901
16.84019,-0.2514985,0.5201273,25.14985
16.8602,-0.2409953,0.5251573,24.09953
16.8802,-0.2303958,0.5299772,23.03958
16.9002,-0.2197041,0.5345851,21.97041
16.9202,-0.2089245,0.5389792,20.89245
16.9402,-0.1980613,0.5431576,19.80613
16.9602,-0.187119,0.5471188,18.7119
16.9802,-0.1761017,0.5508612,17.61017
17.0002,-0.1650141,0.5543833,16.50141
17.0202,-0.1538604,0.5576836,15.38604
17.0402,-0.1426452,0.5607608,14.26452
17.0602,-0.1313729,0.5636137,13.13729
17.0802,-0.1200481,0.5662411,12.00481
17.1002,-0.1086753,0.5686421,10.86753
17.1202,-0.09725896,0.5708156,9.725896
17.1402,-0.08580374,0.5727608,8.580374
17.1602,-0.07431421,0.5744768,7.431421
17.1802,-0.06279495,0.5759631,6.279495
17.2002,-0.05125057,0.577219,5.125057
17.2202,-0.03968569,0.578244,3.968569
17.2402,-0.02810493,0.5790377,2.810493
17.2602,-0.01651293,0.5795998,1.651293
17.2802,-0.004914333,0.5799301,0.4914333
17.30021,0.006686234,0.5800284,-0.6686234
17.32021,0.01828413,0.5798946,-1.828413
17.34021,0.0298747,0.5795289,-2.98747
17.36021,0.04145333,0.5789315,-4.145333
17.38021,0.05301538,0.5781024,-5.301538
17.40021,0.06455623,0.5770421,-6.455623
17.42021,0.07607125,0.575751,-7.607125
17.44021,0.08755584,0.5742296,-8.755584
17.46021,0.09900541,0.5724785,-9.900541
17.48021,0.1104154,0.5704983,-11.04154
17.50021,0.1217812,0.5682901,-12.17812
17.52021,0.1330983,0.5658544,-13.30983
17.54021,0.1443621,0.5631925,-14.43621
17.56021,0.1555682,0.5603052,-15.55682
17.58021,0.1667121,0.5571939,-16.67121
17.60021,0.1777893,0.5538597,-17.77893
17.62021,0.1887954,0.5503039,-18.87954
17.64021,0.1997259,0.546528,-19.97259
17.66021,0.2105766,0.5425335,-21.05766
17.68021,0.221343,0.5383219,-22.1343
17.70021,0.2320209,0.5338951,-23.20209
17.72021,0.242606,0.5292547,-24.2606
17.74022,0.2530941,0.5244026,-25.30941
17.76022,0.2634809,0.5193407,-26.34809
17.78022,0.2737623,0.514071,-27.37623
17.80022,0.2839342,0.5085958,-28.39342
17.82022,0.2939926,0.5029171,-29.39926
17.84022,0.3039333,0.4970373,-30.39333
17.86022,0.3137525,0.4909586,-31.37525
17.88022,0.3234462,0.4846835,-32.34462
17.90022,0.3330105,0.4782146,-33.30105
17.92022,0.3424416,0.4715544,-34.24416
17.94022,0.3517357,0.4647056,-35.17357
17.96022,0.3608891,0.4576708,-36.08891
17.98022,0.3698982,0.450453,-36.98982
18.00022,0.3787593,0.4430551,-37.87593
18.02022,0.3874689,0.4354799,-38.74689
18.04022,0.3960235,0.4277305,-39.60235
18.06022,0.4044197,0.4198101,-40.44197
18.08022,0.4126541,0.4117217,-41.26541
18.10022,0.4207235,0.4034686,-42.07235
18.12022,0.4286246,0.3950541,-42.86246
18.14022,0.4363542,0.3864816,-43.63542
18.16022,0.4439093,0.3777546,-44.39093
18.18023,0.4512868,0.3688764,-45.12868
18.20023,0.4584838,0.3598507,-45.84838
18.22023,0.4654975,0.350681,-46.54975
18.24023,0.4723249,0.3413711,-47.23249
18.26023,0.4789634,0.3319246,-47.89634
18.28023,0.4854103,0.3223453,-48.54103
18.30023,0.491663,0.3126371,-49.1663
18.32023,0.4977191,0.3028038,-49.77191
18.34023,0.503576,0.2928495,-50.3576
18.36023,0.5092316,0.2827779,-50.92316
18.38023,0.5146835,0.2725933,-51.46835
18.40023,0.5199295,0.2622996,-51.99295
18.42023,0.5249675,0.251901,-52.49675
18.44023,0.5297955,0.2414017,-52.97955
18.46023,0.5344117,0.2308058,-53.44117
18.48023,0.538814,0.2201176,-53.8814
18.50023,0.5430008,0.2093413,-54.30008
18.52023,0.5469704,0.1984813,-54.69704
18.54023,0.5507213,0.1875419,-55.07213
18.56023,0.5542518,0.1765274,-55.42519
18.58023,0.5575607,0.1654424,-55.75607
18.60023,0.5606465,0.1542912,-56.06465
18.62024,0.5635081,0.1430783,-56.35081
18.64024,0.5661442,0.1318081,-56.61442
18.66024,0.5685539,0.1204852,-56.85539
18.68024,0.5707362,0.1091141,-57.07362
18.70024,0.5726902,0.0976994,-57.26902
18.72024,0.5744151,0.0862456,-57.44151
18.74024,0.5759102,0.07475729,-57.59102
18.76024,0.577175,0.06323909,-57.7175
18.78024,0.5782089,0.05169559,-57.82089
18.80024,0.5790116,0.04013141,-57.90116
18.82024,0.5795826,0.02855118,-57.95826
18.84024,0.5799218,0.01695953,-57.99218
18.86024,0.580029,0.00536109,-58.0029
18.88024,0.5799042,-0.006239491,-57.99042
18.90024,0.5795475,-0.01783758,-57.95475
18.92024,0.5789589,-0.02942853,-57.89589
18.94024,0.5781387,-0.04100771,-57.81387
18.96024,0.5770873,-0.05257048,-57.70873
18.98024,0.5758051,-0.06411222,-57.58051
19.00024,0.5742925,-0.07562833,-57.42925
19.02024,0.5725502,-0.08711418,-57.25502
19.04025,0.5705789,-0.09856518,-57.05789
19.06025,0.5683793,-0.1099768,-56.83793
19.08025,0.5659525,-0.1213444,-56.59525
19.10025,0.5632992,-0.1326634,-56.32993
19.12025,0.5604206,-0.1439294,-56.04206
19.14025,0.5573179,-0.1551378,-55.73178
19.16025,0.5539922,-0.1662841,-55.39922
19.18025,0.5504449,-0.177364,-55.04449
19.20025,0.5466775,-0.1883729,-54.66775
19.22025,0.5426913,-0.1993064,-54.26913
19.24025,0.5384881,-0.2101603,-53.84882
19.26025,0.5340695,-0.22093,-53.40695
19.28025,0.5294373,-0.2316114,-52.94373
19.30025,0.5245933,-0.2422002,-52.45933
19.32025,0.5195395,-0.252692,-51.95395
19.34025,0.5142778,-0.2630828,-51.42778
19.36025,0.5088105,-0.2733684,-50.88105
19.38025,0.5031396,-0.2835446,-50.31396
19.40025,0.4972674,-0.2936074,-49.72674
19.42025,0.4911963,-0.3035527,-49.11963
19.44025,0.4849288,-0.3133766,-48.49288
19.46025,0.4784673,-0.3230752,-47.84673
19.48026,0.4718144,-0.3326446,-47.18144
19.50026,0.4649728,-0.3420808,-46.49728
19.52026,0.4579452,-0.3513803,-45.79452
19.54026,0.4507344,-0.3605392,-45.07344
19.56026,0.4433433,-0.3695539,-44.33433
19.58026,0.4357749,-0.3784208,-43.57749
19.60026,0.4280322,-0.3871363,-42.80322
19.62026,0.4201182,-0.3956969,-42.01182
19.64026,0.4120362,-0.4040993,-41.20362
19.66026,0.4037894,-0.41234,-40.37894
19.68026,0.3953811,-0.4204158,-39.53811
19.70026,0.3868147,-0.4283234,-38.68147
19.72026,0.3780935,-0.4360597,-37.80935
19.74026,0.369221,-0.4436216,-36.9221
19.76026,0.3602009,-0.451006,-36.02009
19.78026,0.3510367,-0.4582101,-35.10367
19.80026,0.3417321,-0.4652308,-34.17321
19.82026,0.3322908,-0.4720654,-33.22908
19.84026,0.3227165,-0.4787113,-32.27165
19.86026,0.3130132,-0.4851656,-31.30132
19.88026,0.3031847,-0.4914259,-30.31847
19.90026,0.2932349,-0.4974896,-29.32349
19.92027,0.2831678,-0.5033543,-28.31678
19.94027,0.2729875,-0.5090176,-27.29875
19.96027,0.2626979,-0.5144773,-26.26979
19.98027,0.2523033,-0.5197313,-25.23033
20.00027,0.2418078,-0.5247774,-24.18078
