t,v(t)
0,0
0.02,0.01333333
0.04,0.02666667
0.06,0.04
0.08,0.05333333
0.09999999,0.06666667
0.12,0.08000001
0.14,0.09333334
0.16,0.1066667
0.18,0.12
0.2,0.1333333
0.22,0.1466667
0.24,0.16
0.26,0.1733333
0.28,0.1866667
0.3,0.2
0.32,0.2133334
0.34,0.2266667
0.36,0.24
0.38,0.2533334
0.4,0.2666667
0.42,0.28
0.44,0.2933333
0.46,0.3066666
0.48,0.32
0.5,0.3333333
0.52,0.3466666
0.54,0.3599999
0.56,0.3733332
0.58,0.3866666
0.6,0.3999999
0.62,0.4133332
0.64,0.4266665
0.66,0.4399998
0.68,0.4533332
0.7,0.4666665
0.72,0.4799998
0.74,0.4933331
0.76,0.5066665
0.78,0.5199998
0.8,0.5333331
0.82,0.5466664
0.84,0.5599998
0.86,0.5733331
0.88,0.5866664
0.9,0.5999997
0.92,0.613333
0.94,0.6266664
0.96,0.6399997
0.98,0.653333
1,0.6666663
1.02,0.6799996
1.04,0.693333
1.06,0.7066663
1.08,0.7199996
1.1,0.7333329
1.12,0.7466663
1.14,0.7599996
1.16,0.7733329
1.18,0.7866662
1.2,0.7999995
1.22,0.8133329
1.24,0.8266662
1.26,0.8399995
1.28,0.8533328
1.3,0.8666661
1.32,0.8799995
1.34,0.8933328
1.36,0.9066661
1.38,0.9199994
1.4,0.9333327
1.42,0.9466661
1.44,0.9599994
1.46,0.9733327
1.48,0.986666
1.5,0.9999993
1.52,1.013333
1.54,1.026666
1.56,1.039999
1.58,1.053333
1.6,1.066666
1.62,1.079999
1.64,1.093333
1.66,1.106666
1.68,1.119999
1.7,1.133333
1.72,1.146666
1.74,1.159999
1.76,1.173333
1.78,1.186666
1.8,1.199999
1.82,1.213333
1.84,1.226666
1.86,1.239999
1.88,1.253332
1.9,1.266666
1.92,1.279999
1.94,1.293332
1.96,1.306666
1.98,1.319999
2,1.333332
2.02,1.346666
2.04,1.359999
2.06,1.373332
2.08,1.386666
2.1,1.399999
2.12,1.413332
2.14,1.426666
2.16,1.439999
2.18,1.453332
2.2,1.466666
2.22,1.479999
2.24,1.493332
2.26,1.506666
2.28,1.519999
2.3,1.533332
2.32,1.546666
2.34,1.559999
2.36,1.573332
2.38,1.586666
2.4,1.599999
2.42,1.613332
2.44,1.626665
2.46,1.639999
2.48,1.653332
2.5,1.666665
2.52,1.679999
2.54,1.693332
2.56,1.706665
2.58,1.719999
2.6,1.733332
2.62,1.746665
2.64,1.759999
2.66,1.773332
2.68,1.786665
2.7,1.799999
2.72,1.813332
2.74,1.826665
2.76,1.839999
2.78,1.853332
2.8,1.866665
2.82,1.879999
2.84,1.893332
2.86,1.906665
2.88,1.919999
2.9,1.933332
2.92,1.946665
2.94,1.959998
2.96,1.973332
2.98,1.986665
3,1.999998
3.02,2.013332
3.04,2.013332
3.06,2.013332
3.08,2.013332
3.1,2.013332
3.12,2.013332
3.14,2.013332
3.16,2.013332
3.18,2.013332
3.2,2.013332
3.22,2.013332
3.24,2.013332
3.26,2.013332
3.28,2.013332
3.3,2.013332
3.32,2.013332
3.34,2.013332
3.36,2.013332
3.38,2.013332
3.4,2.013332
3.42,2.013332
3.44,2.013332
3.46,2.013332
3.48,2.013332
3.5,2.013332
3.52,2.013332
3.54,2.013332
3.56,2.013332
3.58,2.013332
3.6,2.013332
3.62,2.013332
3.64,2.013332
3.66,2.013332
3.68,2.013332
3.7,2.013332
3.72,2.013332
3.74,2.013332
3.76,2.013332
3.78,2.013332
3.8,2.013332
3.82,2.013332
3.84,2.013332
3.86,2.013332
3.88,2.013332
3.9,2.013332
3.92,2.013332
3.94,2.013332
3.96,2.013332
3.98,2.013332
4,2.013332
4.02,1.963365
4.04,1.913791
4.06,1.8646
4.08,1.815782
4.1,1.767326
4.12,1.719225
4.14,1.671467
4.16,1.624043
4.18,1.576944
4.2,1.530161
4.22,1.483684
4.24,1.437503
4.26,1.39161
4.28,1.345995
4.3,1.30065
4.32,1.255564
4.34,1.21073
4.36,1.166138
4.38,1.121779
4.4,1.077644
4.42,1.033725
4.44,0.9900126
4.46,0.9464983
4.48,0.9031732
4.5,0.8600288
4.52,0.8170564
4.54,0.7742474
4.56,0.7315933
4.58,0.6890854
4.6,0.6467154
4.62,0.6044747
4.64,0.5623549
4.66,0.5203476
4.68,0.4784444
4.7,0.4366368
4.72,0.3949166
4.74,0.3532754
4.76,0.3117048
4.78,0.2701966
4.8,0.2287424
4.82,0.1873339
4.84,0.1459629
4.86,0.1046211
4.88,0.06330023
4.9,0.02199201
4.92,-0.01931181
4.94,-0.0606195
4.96,-0.1019393
4.98,-0.1432795
5,-0.1846484
5.02,-0.2260542
5.04,-0.2675051
5.06,-0.3090096
5.08,-0.3505759
5.1,-0.3922123
5.12,-0.4339272
5.14,-0.4757288
5.16,-0.5176256
5.18,-0.5596259
5.2,-0.6017381
5.22,-0.6439707
5.24,-0.686332
5.26,-0.7288307
5.28,-0.7714751
5.3,-0.8142738
5.32,-0.8572353
5.34,-0.9003683
5.36,-0.9436814
5.38,-0.9871832
5.4,-1.030882
5.42,-1.074788
5.44,-1.118908
5.46,-1.163252
5.48,-1.207829
5.5,-1.252648
5.52,-1.297716
5.54,-1.343045
5.56,-1.388642
5.58,-1.434517
5.6,-1.480679
5.62,-1.527136
5.64,-1.5739
5.66,-1.620978
5.68,-1.66838
5.7,-1.716116
5.72,-1.764195
5.74,-1.812627
5.76,-1.861421
5.78,-1.910588
5.8,-1.960137
5.82,-2.010078
5.84,-2.060421
5.86,-2.111176
5.88,-2.111176
5.9,-2.111176
5.92,-2.111176
5.94,-2.111176
5.96,-2.111176
5.98,-2.111176
6,-2.111176
6.02,-2.111176
6.04,-2.111176
6.06,-2.111176
6.08,-2.111176
6.1,-2.111176
6.12,-2.111176
6.14,-2.111176
6.16,-2.111176
6.18,-2.111176
6.2,-2.111176
6.22,-2.111176
6.24,-2.111176
6.26,-2.111176
6.28,-2.111176
6.3,-2.111176
6.32,-2.111176
6.34,-2.111176
6.36,-2.111176
6.38,-2.111176
6.4,-2.111176
6.42,-2.111176
6.44,-2.111176
6.46,-2.111176
6.48,-2.111176
6.5,-2.111176
6.52,-2.111176
6.54,-2.111176
6.56,-2.111176
6.58,-2.111176
6.6,-2.111176
6.62,-2.111176
6.64,-2.111176
6.66,-2.111176
6.68,-2.111176
6.7,-2.111176
6.72,-2.111176
6.74,-2.111176
6.76,-2.111176
6.78,-2.111176
6.8,-2.111176
6.82,-2.111176
6.84,-2.111176
6.86,-2.111176
6.88,-2.111176
6.9,-2.111176
6.92,-2.111176
6.94,-2.111176
6.96,-2.111176
6.98,-2.111176
7,-2.111176
7.02,-2.111176
7.04,-2.111176
7.06,-2.111176
7.08,-2.111176
7.1,-2.111176
7.12,-2.111176
7.14,-2.111176
7.16,-2.111176
7.18,-2.111176
7.2,-2.111176
7.22,-2.111176
7.24,-2.111176
7.26,-2.111176
7.28,-2.111176
7.3,-2.111176
7.32,-2.111176
7.34,-2.111176
7.36,-2.111176
7.38,-2.111176
7.4,-2.111176
7.42,-2.111176
7.44,-2.111176
7.46,-2.111176
7.48,-2.111176
7.5,-2.111176
7.52,-2.111176
7.54,-2.111176
7.56,-2.111176
7.58,-2.111176
7.6,-2.111176
7.62,-2.111176
7.64,-2.111176
7.66,-2.111176
7.68,-2.111176
7.7,-2.111176
7.72,-2.111176
7.74,-2.111176
7.76,-2.111176
7.78,-2.111176
7.8,-2.111176
7.82,-2.111176
7.84,-2.111176
7.86,-2.111176
7.88,-2.111176
7.9,-2.111176
7.92,-2.111176
7.94,-2.111176
7.96,-2.111176
7.98,-2.111176
8,-2.111176
8.02,-2.111176
8.04,-2.111176
8.059999,-2.111176
8.08,-2.111176
8.099999,-2.111176
8.12,-2.111176
8.139999,-2.111176
8.16,-2.111176
8.179999,-2.111176
8.2,-2.111176
8.22,-2.111176
8.24,-2.111176
8.26,-2.111176
8.28,-2.111176
8.3,-2.111176
8.32,-2.111176
8.34,-2.111176
8.36,-2.111176
8.38,-2.111176
8.4,-2.111176
8.42,-2.111176
8.44,-2.111176
8.46,-2.111176
8.48,-2.111176
8.5,-2.111176
8.52,-2.111176
8.54,-2.111176
8.559999,-2.111176
8.58,-2.111176
8.599999,-2.111176
8.62,-1.208665
8.639999,-1.055588
8.66,-1.055588
8.679999,-1.055588
8.7,-1.055588
8.72,-1.055588
8.74,-1.055588
8.76,-1.055588
8.78,-1.055588
8.8,-1.055588
8.82,-1.055588
8.84,-1.055588
8.86,-1.055588
