t,v(t)
8.88,-1.093334
8.9,-1.093334
8.92,-1.093334
8.94,-1.093334
8.96,-1.093334
8.98,-1.093334
9,-1.093334
9.02,-1.093334
9.04,-1.093334
9.059999,-1.093334
9.08,-1.093334
9.099999,-1.093334
9.12,-1.093334
9.139999,-1.093334
9.16,-1.093334
9.179999,-1.093334
9.2,-1.093334
9.22,-1.093334
9.24,-1.093334
9.26,-1.093334
9.28,-1.093334
9.3,-1.093334
9.32,-1.093334
9.34,-1.093334
9.36,-1.093334
9.38,-1.093334
9.4,-1.093334
9.42,-1.093334
9.44,-1.093334
9.46,-1.093334
9.48,-1.093334
9.5,-1.093334
9.52,-1.093334
9.54,-1.093334
9.559999,-1.093334
9.58,-1.093334
9.599999,-1.093334
9.62,-1.093334
9.639999,-1.093334
9.66,-1.093334
9.679999,-1.093334
9.7,-1.093334
9.719999,-1.093334
9.74,-1.093334
9.76,-1.093334
9.78,-1.093334
9.8,-1.093334
9.82,-1.093334
9.84,-1.093334
9.86,-1.093334
9.88,-1.093334
9.9,-1.093334
9.92,-1.093334
9.94,-1.093334
9.96,-1.093334
9.98,-1.093334
10,-1.093334
10.02,-1.093334
10.04,-1.093334
10.06,-1.093334
10.08,-1.093334
10.1,-1.093334
10.12,-1.093334
10.14,-1.093334
10.16,-1.093334
10.18,-1.093334
10.2,-1.093334
10.22,-1.093334
10.24,-1.093334
10.26,-1.093334
10.28,-1.093334
10.3,-1.093334
10.32,-1.093334
10.34,-1.093334
10.36,-1.093334
10.38,-1.093334
10.4,-1.093334
10.42,-1.093334
10.44,-1.093334
10.46,-1.093334
10.48,-1.093334
10.5,-1.093334
10.52,-1.093334
10.54,-1.093334
10.56,-1.093334
10.58,-1.093334
10.6,-1.093334
10.62,-1.093334
10.64,-1.093334
10.66,-1.093334
10.68,-1.093334
10.7,-1.093334
10.72,-1.093334
10.74,-1.093334
10.76,-1.093334
10.78,-1.093334
10.8,-1.093334
10.82,-1.093334
10.84,-1.093334
10.86,-1.093334
10.88,-1.093334
10.9,-1.093334
10.92,-1.093334
10.94,-1.093334
10.96,-1.093334
10.98,-1.093334
11,-1.093334
11.02,-1.093334
11.04,-1.093334
11.06,-1.093334
11.08,-1.093334
11.1,-1.093334
11.12,-1.093334
11.14,-1.093334
11.16,-1.093334
11.18,-1.093334
11.2,-1.093334
11.22,-1.093334
11.24,-1.093334
11.26,-1.093334
11.28,-1.093334
11.3,-1.093334
11.32,-1.093334
11.34,-1.093334
11.36,-1.093334
11.38,-1.093334
11.4,-1.093334
11.42,-1.093334
11.44,-1.093334
11.46,-1.093334
11.48,-1.093334
11.5,-1.093334
11.52,-1.093334
11.54,-1.093334
11.56,-1.093334
11.58,-1.093334
11.6,-1.093334
11.62,-1.093334
11.64,-1.093334
11.66,-1.093334
11.68,-1.093334
11.7,-1.093334
11.72,-1.093334
11.74,-1.093334
11.76,-1.093334
11.78,-1.093334
11.8,-1.093334
11.82,-1.093334
11.84,-1.093334
11.86,-1.093334
11.88,-1.093334
11.9,-1.093334
11.92,-1.093334
11.94,-1.093334
11.96,-1.093334
11.98,-1.093334
12,-1.093334
12.02,-1.093334
12.04,-1.093334
12.06,-1.093334
12.08,-1.093334
12.1,-1.093334
12.12,-1.093334
12.14,-1.093334
12.16,-1.093334
12.18,-1.093334
12.2,-1.093334
12.22,-1.093334
12.24,-1.093334
12.26,-1.093334
12.28,-1.093334
12.3,-1.093334
12.32,-1.093334
12.34,-1.093334
12.36,-1.093334
12.38,-1.093334
12.4,-1.093334
12.42,-1.093334
12.44,-1.093334
12.46,-1.093334
12.48,-1.093334
12.5,-1.093334
12.52,-1.093334
12.54,-1.093334
12.56,-1.093334
12.58,-1.093334
12.6,-1.093334
12.62,-1.093334
